metric,index,mean,std
recall (train),7,0.9277561062420395,0.06185544014245228
recall (train),8,0.9728114171474657,0.03286705041915136
recall (train),9,0.99446213294331,0.010523630480886422
recall (train),10,1.0,0.0
recall (train),11,1.0,0.0
recall (train),12,0.5907866143860117,0.24668025707654956
recall (train),13,0.49465150717270434,0.18769404876370469
recall (train),14,0.0,0.0
recall (train),15,0.9636363636363636,0.18719327529067278
recall (train),16,0.49879310571243235,0.01537234371071173
recall (test),0,0.7624496134726305,0.16254046858775284
recall (test),1,0.5967049219717693,0.1652124266772965
recall (test),2,0.6608052349125418,0.16642863101212899
recall (test),3,0.7078248861288846,0.1659099671555635
recall (test),4,0.7502987960579128,0.1626631722305201
recall (test),5,0.7783905907774532,0.07358326244694882
recall (test),6,0.7245745827792358,0.09394533877508575
recall (test),7,0.7615272602070855,0.08156086747582172
recall (test),8,0.7739252231011645,0.07770353773641764
recall (test),9,0.7797660165839959,0.07382595367361632
recall (test),10,0.7992746547361419,0.062104200714159195
recall (test),11,0.7438715759965696,0.09403965215487213
recall (test),12,0.5883051200914142,0.24382530573026398
recall (test),13,0.4837059482786531,0.17720151352218896
recall (test),14,0.0,0.0
recall (test),15,0.9636363636363636,0.18719327529067278
recall (test),16,0.5024149635014158,0.01752186570830613
f1 (train),0,0.8983159936092535,0.18041185123512776
f1 (train),1,0.7167997314069092,0.16541838622723412
f1 (train),2,0.7704113429285124,0.1695224619794235
f1 (train),3,0.8213089156241175,0.1743111579672837
f1 (train),4,0.8768162696423071,0.17810980311271465
f1 (train),5,0.9999485590699713,5.63910674394402e-05
f1 (train),6,0.8916543072850037,0.06878252720000394
f1 (train),7,0.9529178741539067,0.0397583565010008
f1 (train),8,0.9828031228928199,0.020345798637730887
f1 (train),9,0.9967074818099865,0.005843700308919489
f1 (train),10,1.0,0.0
f1 (train),11,1.0,0.0
f1 (train),12,0.4691581234644553,0.11532745627827022
f1 (train),13,0.6006363412845904,0.16716156810044835
f1 (train),14,0.0,0.0
f1 (train),15,0.1334266109486129,0.07912932783541439
f1 (train),16,0.1270402675073778,0.058786611288504924
f1 (test),0,0.7923769658884984,0.16571428033281257
f1 (test),1,0.6921300411141587,0.1628272299820382
f1 (test),2,0.7323741298213815,0.1622087685568928
f1 (test),3,0.7657181159482699,0.16433236572029336
f1 (test),4,0.7894430650617363,0.1649242804434952
f1 (test),5,0.8036190937143628,0.07346099546934128
f1 (test),6,0.7904217785153309,0.07057944164392504
f1 (test),7,0.8061676274011389,0.07074844869247686
f1 (test),8,0.806449218204835,0.07277883914631864
f1 (test),9,0.8057189523331312,0.07330940144172142
f1 (test),10,0.7988126455192484,0.06300259103181546
f1 (test),11,0.7452560028050794,0.09351816170727648
f1 (test),12,0.4651307004285385,0.11192079417415092
f1 (test),13,0.590339196650138,0.16059164259005473
f1 (test),14,0.0,0.0
f1 (test),15,0.13308957694483248,0.07848094975524723
f1 (test),16,0.12875007268212907,0.06285878771981133
